"first_name","last_name","middle_name","email","department","job_title","manager","hris_id","cost_center","birth_date","coffee_or_tea_preference","hire_date","termination_date","employee_status","home_street_address","home_city","home_state","home_postal_code","home_country","work_country"
"George","Costanza","Louis","george.costanza@vandelayindustries4619.com","Executive","CEO",,"d903bf02-7e65-4587-9e2c-ebd6e08facf0","100","1961-08-06","Coffee","2000-04-12",,"Active","129 West 81st Street, Apt. 5E","New York","New York","10024","United States","United States"
"Elaine","Benes","Marie","elaine.benes@vandelayindustries4619.com","Sales","VP of Sales","d903bf02-7e65-4587-9e2c-ebd6e08facf0","35e3f938-a444-4776-8b26-d152b3d3e9e1","201","1952-11-23","Coffee","2008-08-01",,"Active","The Montana, 211 West 90th Street, Apt. 602","New York","New York","10024","United States","United States"
"Jerry","Seinfeld","Allen","jerry.seinfeld@vandelayindustries4619.com","Engineering","VP of Engineering","d903bf02-7e65-4587-9e2c-ebd6e08facf0","b6730196-5e19-4712-920d-521566f67077","301","1959-07-16","Coffee","2010-01-25",,"Active","129 West 81st Street, Apt. 5A","New York","New York","10024","United States","United States"
"Cosmo","Kramer","Michael","cosmo.kramer@vandelayindustries4619.com","Sales","Sales Manager","35e3f938-a444-4776-8b26-d152b3d3e9e1","03dc6c97-3d73-4941-a72e-39ef634bd8c9","210","1967-11-12","Tea","2017-12-22",,"Active","129 West 81st Street, Apt. 5B","New York","New York","10024","United States","United States"
"Newman","Newman","","newman.newman@vandelayindustries4619.com","Sales","Sales Representative","03dc6c97-3d73-4941-a72e-39ef634bd8c9","ff4cf6cb-cdc1-4ff1-82bc-ebf7ed3f6748","211","1957-10-01","Coffee","2018-10-05",,"Active","129 West 81st Street, Apt. 5E","New York","New York","10024","United States","United States"
"Susan","Ross","Elizabeth","susan.ross@vandelayindustries4619.com","Engineering","Senior Software Engineer","c5c626e7-d941-43b6-ac05-339e2301d6c3","1a2ac2d0-6930-49b2-b4d6-8a86f13d837d","310","1955-02-17","Coffee","2014-04-01",,"Active","407 Church Avenue","Queens","New York","11377","United States","United States"
"Frank","Costanza","Anthony","frank.costanza@vandelayindustries4619.com","Engineering","Software Development Manager","b6730196-5e19-4712-920d-521566f67077","c5c626e7-d941-43b6-ac05-339e2301d6c3","312","1945-02-10","Coffee","2020-05-11",,"Active","379 Cedar Place","Queens","New York","11377","United States","United States"
"Estelle","Costanza","Rose","estelle.costanza@vandelayindustries4619.com","Engineering","Junior Software Engineer","c5c626e7-d941-43b6-ac05-339e2301d6c3","888a8a36-874f-48c2-9149-6a7d5957df4b","312","1943-11-08","Coffee","2020-03-08",,"Active","378 Park Avenue","Queens","New York","11377","United States","United States"
"Jackie","Chiles","Lee","jackie.chiles@vandelayindustries4619.com","Legal","Legal Counsel","d903bf02-7e65-4587-9e2c-ebd6e08facf0","803aa8de-998b-4359-a5eb-0dae56cb0706","401","1977-10-18","Tea","2017-07-17",,"Active","91 Maple Avenue","Queens","New York","11377","United States","United States"
"Keith","Hernandez","David","keith.hernandez@vandelayindustries4619.com","Marketing","Marketing Manager","d903bf02-7e65-4587-9e2c-ebd6e08facf0","e9d39470-16e2-46d5-a1ac-d9a6b4079ef2","501","1940-02-25","Tea","2017-04-28","2025-07-15","inactive","388 Pine Lane","Queens","New York","11377","United States","United States"
"David","Puddy","Jacob","david.puddy@vandelayindustries4619.com","Sales","Sales Representative","03dc6c97-3d73-4941-a72e-39ef634bd8c9","b69a2220-949d-4b78-9bf6-2182920abf7c","211","1942-10-13","Coffee","2016-11-07",,"Active","472 Elm Place","New York","New York","10024","United States","United States"
"Jacopo","Peterman","","jacopo.peterman@vandelayindustries4619.com","Marketing","Marketing Manager","35e3f938-a444-4776-8b26-d152b3d3e9e1","2b85065f-2d11-4566-98b1-c1714411344b","501","1954-06-24","Tea","2016-07-24",,"Active","266 Park Lane","Queens","New York","11377","United States","United States"
"Tim","Whatley","","tim.whatley@vandelayindustries4619.com","Dentistry","Dentist","d903bf02-7e65-4587-9e2c-ebd6e08facf0","c4379090-8e78-4e1a-8d68-4c6734469496","100","1968-05-20","Coffee","2003-07-06",,"Active","421 Church Avenue","Queens","New York","10024","United States","United States"
